stem,tier,score,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height
233,medium,0.23899762268964334,583,19,283,37,0.9386699507389162,5734
228,medium,0.23997618523100148,438,13,189,8,0.9634411384217335,6499
213,medium,0.24231352073329412,556,9,228,16,0.9457211889644322,6999
296,medium,0.24358180692322376,1104,20,424,61,0.952448108501429,4775
235,medium,0.24487548787444904,573,22,222,11,0.8771768847608704,7694
141,medium,0.24626822068189838,787,19,431,48,0.8766209494235027,6936
217,medium,0.2466638710215251,906,34,515,38,0.9239913626548472,5065
160,medium,0.24891522257884188,625,18,280,110,0.9704382450614816,5161
140,medium,0.2507382848022423,909,28,570,23,0.9494609360595445,5525
135,medium,0.2513948013533664,660,15,221,19,0.9513954987871903,7290
174,medium,0.2544252976238665,833,29,304,22,0.9641889858561541,6116
39,medium,0.25667499024345614,405,12,187,12,0.9403105232892467,8623
181,medium,0.2572771395939244,489,18,186,15,0.9047689992699751,8798
190,medium,0.2580214758099499,755,25,227,38,0.9665916050088763,6673
143,medium,0.2594929996732447,903,27,506,24,0.9865370541254336,5916
265,medium,0.2609563835183823,1614,20,642,119,0.9660579894271041,4563
331,high,0.26212504228032757,1639,31,362,33,0.9439229463974939,6037
310,high,0.2758318356128933,1307,37,695,30,0.9890791556645192,6052
239,high,0.2921838789965773,1048,25,517,39,0.9579659626819766,9442
238,high,0.30641217455836184,1449,31,587,64,0.9859278865291813,9111
185,high,0.31059484631606676,785,17,287,46,0.9777242624924745,12011
345,high,0.31229397150016486,2525,12,1122,185,0.986188330977731,7182
295,high,0.31467614658619375,2246,19,804,101,0.9869988721784417,8977
275,high,0.31779914467180786,1420,33,687,78,0.982969492144684,9838
300,high,0.3208275918744025,1028,23,605,56,0.9529750609921388,12158
312,high,0.32111961139605444,1977,23,1257,43,0.9496301386474797,10352
315,high,0.3212299544265886,1161,21,376,56,0.9935756946124544,11866
272,high,0.3238851733006158,2838,23,1705,81,0.972672195247712,8044
248,high,0.32491488345175246,3871,34,1073,7,0.9898790920954799,8210
125,high,0.32718165168728436,960,19,498,118,0.9193698175787728,13012
289,high,0.3327447946959603,3225,40,970,70,0.9577904965823931,9118
256,high,0.3333333333333333,1,1,0,0,1.0,16861
332,high,0.3344340567223902,2628,30,1217,212,0.9872025189777637,7586
240,high,0.3361349731227701,2878,21,1072,92,0.9650216562387615,10412
340,high,0.3381573174198191,1078,30,514,87,0.9594382621830454,12999
250,high,0.3402311838345177,1326,12,1049,34,0.8992671552298468,15000
346,high,0.34668762514456475,1121,138,681,14,0.9711999655862172,7469
308,high,0.34719014831175404,2023,26,1188,34,0.971078459367071,12595
306,high,0.347492257789127,4735,28,1548,162,0.9882693334547517,6995
277,high,0.35023531891302667,2002,24,780,128,0.964145956243521,12531
307,high,0.36253508255506217,1504,19,623,147,0.94559413178387,14915
318,high,0.37778973298154134,1606,17,832,95,0.957699482969991,16637
257,high,0.37977594865563336,1971,34,923,33,0.9734439075438215,15827
313,high,0.38514866264152237,3317,32,1917,87,0.962043228993992,12862
297,high,0.3896478480681987,2804,23,1111,330,0.9884601510422285,11871
338,high,0.39429473766248657,2356,31,1145,100,0.9424253633575315,16297
294,high,0.39431499109486384,3969,27,2000,371,0.9598344998095096,9303
260,high,0.40294723593004034,5571,29,1597,54,0.9892710790163396,13065
320,high,0.4217860522377721,1350,263,533,122,0.9104691339775688,6578
274,high,0.4729541627843476,6768,18,2671,309,0.9809066365656965,14265
323,high,0.47765153458614096,2948,73,770,608,0.9900160170848905,13966
311,high,0.48252473146270275,10747,39,676,32,0.9969649187001851,16850
266,high,0.8091651803901869,16331,25,9834,1178,0.9691504501043551,13450
